# Force coefficients
# liftDir     : (0.000000e+00 0.000000e+00 1.000000e+00)
# dragDir     : (1.000000e+00 0.000000e+00 0.000000e+00)
# pitchAxis   : (0.000000e+00 1.000000e+00 0.000000e+00)
# magUInf     : 2.000000e+01
# lRef        : 1.420000e+00
# Aref        : 7.500000e-01
# CofR        : (7.200000e-01 0.000000e+00 0.000000e+00)
# Time        	Cm            	Cd            	Cl            	Cl(f)         	Cl(r)         
258           	1.571125e-01	4.141209e-01	6.735780e-02	1.907914e-01	-1.234336e-01
259           	1.571347e-01	4.141342e-01	6.753724e-02	1.909034e-01	-1.233661e-01
260           	1.571038e-01	4.140947e-01	6.755090e-02	1.908793e-01	-1.233284e-01
261           	1.570830e-01	4.140634e-01	6.771691e-02	1.909415e-01	-1.232245e-01
262           	1.570369e-01	4.139782e-01	6.778375e-02	1.909288e-01	-1.231450e-01
263           	1.570214e-01	4.139273e-01	6.800385e-02	1.910233e-01	-1.230195e-01
264           	1.569729e-01	4.138240e-01	6.808610e-02	1.910160e-01	-1.229299e-01
265           	1.569465e-01	4.137529e-01	6.828597e-02	1.910895e-01	-1.228035e-01
266           	1.568982e-01	4.136535e-01	6.833242e-02	1.910644e-01	-1.227320e-01
267           	1.568812e-01	4.135783e-01	6.852275e-02	1.911426e-01	-1.226199e-01
268           	1.568584e-01	4.134817e-01	6.857209e-02	1.911445e-01	-1.225724e-01
269           	1.568627e-01	4.134244e-01	6.874419e-02	1.912348e-01	-1.224906e-01
270           	1.568738e-01	4.133581e-01	6.880127e-02	1.912744e-01	-1.224731e-01
271           	1.569367e-01	4.133788e-01	6.894912e-02	1.914112e-01	-1.224621e-01
272           	1.569727e-01	4.133713e-01	6.891949e-02	1.914324e-01	-1.225130e-01
273           	1.570234e-01	4.133880e-01	6.899593e-02	1.915214e-01	-1.225255e-01
274           	1.570707e-01	4.133816e-01	6.894971e-02	1.915455e-01	-1.225958e-01
275           	1.571494e-01	4.134325e-01	6.901066e-02	1.916547e-01	-1.226440e-01
276           	1.572085e-01	4.134639e-01	6.891949e-02	1.916682e-01	-1.227487e-01
277           	1.572672e-01	4.135329e-01	6.892238e-02	1.917284e-01	-1.228060e-01
278           	1.572898e-01	4.135494e-01	6.880390e-02	1.916917e-01	-1.228878e-01
279           	1.573241e-01	4.136031e-01	6.882352e-02	1.917359e-01	-1.229123e-01
280           	1.573524e-01	4.136461e-01	6.874227e-02	1.917235e-01	-1.229812e-01
281           	1.573875e-01	4.137236e-01	6.878935e-02	1.917822e-01	-1.229929e-01
282           	1.574108e-01	4.137853e-01	6.873010e-02	1.917759e-01	-1.230458e-01
283           	1.574587e-01	4.139097e-01	6.879396e-02	1.918556e-01	-1.230617e-01
284           	1.574880e-01	4.140256e-01	6.871665e-02	1.918464e-01	-1.231297e-01
285           	1.575199e-01	4.141699e-01	6.875842e-02	1.918992e-01	-1.231407e-01
286           	1.575741e-01	4.143386e-01	6.869743e-02	1.919228e-01	-1.232254e-01
287           	1.576632e-01	4.146032e-01	6.872143e-02	1.920239e-01	-1.233024e-01
288           	1.577495e-01	4.148693e-01	6.862204e-02	1.920605e-01	-1.234384e-01
289           	1.578317e-01	4.151683e-01	6.857740e-02	1.921204e-01	-1.235430e-01
290           	1.579486e-01	4.155006e-01	6.843645e-02	1.921668e-01	-1.237304e-01
291           	1.580571e-01	4.158611e-01	6.832838e-02	1.922213e-01	-1.238929e-01
